title,link,date,content,is_fake
NIK KTP DKI Jakarta akan dinonatifkan permanen pada 1 Juni,https://www.antaranews.com/berita/4129155/hoaks-nik-ktp-dki-jakarta-akan-dinonatifkan-permanen-pada-1-juni,,"– sebuah unggahan di facebook mengimbau kepada warga pemegang ktp dki jakarta untuk mengecek nik nya sebelum dinonaktifkan permanen pada 1 juni 2024.

berikut narasi dalam unggahan tersebut:
“bapak ibu warga jakarta, mohon luangkan waktu sejenak untuk mengecek nik ktp, sebelum di-nonaktifkan permanen per 1 juni 2024 jika terdaftar dalam penataan dan penertiban. 
sekilas info penertiban nik dki jakarta.
1. masuk website dukcapil https://datawarga-dukcapil.jakarta.go.id/
2. masukkan nik dan captha sesuai gambar
3. lihat hasil yang muncul
4. apabila muncul *tidak terdaftar dalam penataan dan penertiban* maka nik tidak ada masalah, tidak perlu lakukan apapun
5. jika muncul hasil *terdaftar dalam penataan dan penertiban* maka perlu diurus ke kelurahan karena akan dinonaktifkan permanen per 1 juni 2024.”",1
"Kominfo, Raffi Ahmad hingga Rudy Salim ajukan pelegalan judi online",https://www.antaranews.com/berita/4125624/hoaks-kominfo-raffi-ahmad-hingga-rudy-salim-ajukan-pelegalan-judi-online,,"– sebuah unggahan video menarasikan sejumlah pengusaha seperti raffi ahmad dan rudy salim bersama kementerian komunikasi dan informatika (kominfo) mengajukan pelegalan judi online.

berikut narasi dalam unggahan tersebut:
“rudy salim, raffi ahmad bikin proyek baru legalisasi judi online, jaman mulai kiamat”",1
Presiden Iran selamat dari kecelakaan helikopter,https://www.antaranews.com/berita/4123608/hoaks-presiden-iran-selamat-dari-kecelakaan-helikopter,,"– presiden iran ebrahim raisi dinyatakan meninggal dunia usai helikopter yang mengangkutnya bersama delapan pejabat lain jatuh di provinsi azerbaijan timur, utara iran, minggu (19/5). 

selain presiden iran, helikopter tersebut juga mengangkut delapan orang lainnya. beberapa diantaranya menteri luar negeri iran hossein amir abdollahian, gubernur provinsi azerbaijan timur malek rahmati, dan lainnya.

sebuah unggahan di x menampilkan foto presiden iran keluar dari helikopter dengan narasi presiden iran selamat.

berikut narasi dalam unggahan tersebut:
“bad news for zionists..
iranian president ebrahim raisi is safe.”",1
RS Sri Ratu Medan tutup pascaviral,https://www.antaranews.com/berita/4122069/hoaks-rs-sri-ratu-medan-tutup-pascaviral,,"– kasus viral di media sosial tiktoker asal medan aleh mendapat perlakuan kurang menyenangkan saat membawa pasien dengan gangguan jiwa berobat ke rumah sakit sri ratu medan.

bidan di rumah sakit sri ratu medan malah menjawab ketus dan langsung mempertanyakan siapa yang akan membayar biaya berobat, meski pasien belum diobati.

buntut dari kasus tersebut, beredar video di tiktok yang menarasikan bahwa rumah sakit sri ratu medan ditutup. 

berikut narasi dalam unggahan tersebut:
“rs sri ratu medan resmi ditutup sampai semuanya sudah reda situasi kembali menjadi semula kita mulai dari 0 lagi, untuk semua nya, kami staf” karyawan rs minta maaf atas kejadian waktu itu kami juga sudah memecat bidan melvi”",1
Video tepung gorengan campur narkoba,https://www.antaranews.com/berita/4119549/hoaks-video-tepung-gorengan-campur-narkoba,,"- beredar video pada platform instagram yang menarasikan gorengan yang dicampur dengan bubuk narkoba.

dalam video yang diunggah tersebut, terlihat pihak kepolisian melakukan penggrebekan terhadap satu rumah yang di dalamnya terdapat mesin yang digunakan untuk membuat narkoba dan juga gorengan yang sudah dicampur dengan narkoba.
“modus baru, gorengan dicampur bubuk narkoba,” tulis akun tersebut.

tangkapan layar video tepung gorengan dicampur narkoba (antara/ho- instagram)",1
Video dalam pesawat turbulensi Singapore airlines 21 Mei,https://www.antaranews.com/berita/4116267/hoaks-video-dalam-pesawat-turbulensi-singapore-airlines-21-mei,,"– sebuah unggahan video beredar di media sosial x menarasikan kondisi dalam pesawat singapore airlines yang mengalami turbulensi pada 21 mei 2024.

diketahui, pesawat singapore airlines penerbangan london-singapura mengalami turbulensi parah pada selasa (21/5/2024). akibat insiden tersebut sampai menyebabkan satu penumpang tewas.

berikut narasi dalam unggahan tersebut:
“singapore airlines boeing 777 flight from london to singapore hit by severe turbulence, one dead, multiple injured. plane plunged over 6000 feet in seconds!!”

berikut terjemahan narasi tersebut:
“penerbangan singapore airlines boeing 777 dari london menuju singapura dilanda turbulensi parah, satu tewas, beberapa luka-luka. pesawat jatuh lebih dari 6000 kaki dalam hitungan detik!!”",1
Rekaman suara Sri Mulyani marahi pegawai Bea Cukai,https://www.antaranews.com/berita/4114323/hoaks-rekaman-suara-sri-mulyani-marahi-pegawai-bea-cukai,,"– sebuah unggahan video di x menampilkan rekaman suara yang diklaim sebagai suara menteri keuangan sri mulyani yang sedang memarahi pertugas bea cukai atas viralnya kasus seorang tenaga kerja wanita (tkw) mengirimkan celana dalam seharga rp140.000 dari hongkong. sesampainya di indonesia, barang tersebut dikenakan bea masuk sebesar rp800.000.

berikut narasi dalam video tersebut:
“viral sri muyani ngamuk ke bea cukai gara-gara celana dalam”",1
MPR keluarkan putusan menolak lantik Prabowo-Gibran,https://www.antaranews.com/berita/4112628/hoaks-mpr-keluarkan-putusan-menolak-lantik-prabowo-gibran,,"– sebuah unggahan video pada 15 mei di youtube berdurasi 11 menit menarasikan bahwa mpr mengeluarkan keputusan untuk tidak melantik presiden dan wakil presiden terpilih 2024, prabowo subianto dan gibran rakabuming raka. 

berikut narasi dalam unggahan tersebut:
“dhuaarr j0k0wi pucat mpr keluarkan putusan,sepakat untuk tidak melantik prabowo-gibran”",1
Harvey Moeis dan Sandra dewi dihukum mati atas korupsi Rp271 triliun pada awal Mei,https://www.antaranews.com/berita/4104159/disinformasi-harvey-moeis-dan-sandra-dewi-dihukum-mati-atas-korupsi-rp271-triliun-pada-awal-mei,,"– sebuah unggahan video di youtube berdurasi empat menit menarasikan bahwa tersangka kasus korupsi timah yang diperkirakan menelan kerugian negara rp271 triliun, harvey moeis dan istrinya, sandra dewi resmi dihukum mati oleh kejaksaan.

berikut narasi dalam unggahan tersebut:
“sandra dewi dan harvey moeis akhirnya divonis hukuman m4ti atas korupsi 271 t”",1
Video Verrell Bramasta ditangkap terkait kasus narkoba,https://www.antaranews.com/berita/4103400/hoaks-video-verrell-bramasta-ditangkap-terkait-kasus-narkoba,,"– sebuah unggahan video di tiktok menarasikan bahwa aktor sekaligus anggota dpr ri fpan terpilih 2024, verrell bramasta ditangkap karena kedapatan membawa barang terlarang seberat 1,72 gram.

berikut transkrip video tersebut:
“varrell tertangkap pada saat membawa barang terlarang seberat 1,72 gram dan varrell tengah kedapatan membawa barang terlarang pada saat dilakukan operasi pekat sekitar pukul 16.30 wib. pada saat petugas menggeladah polisi menemukan barang terlarang seberat 1,72 gram yang terbungkus dengan koran dari dalam tas varrell dari interogasi awal, varrell mengaku sebagai pemakai bukan pengedar,”",1
