title,is_fake
akun instagram tiruan jhon_lbfoficial mengatasnamakan jhon lbf,1
jateng berduka rumah rumah hanyut dihantam ombak mei,1
tsunami ntt mei,1
prabowo bagikan uang rp juta,1
pemekaran provinsi pulau jawa,1
banjir kawasan ikn kalimantan timur,1
dokter tirta metode menurunkan berat badan diet olahraga,1
walikota boston perempuan yogyakarta,1
ri sol ju gugat cerai kim jong un pengadilan negeri pyongyang,1
pesan sms nama pos indonesia,1
total dana bansos rp triliun juta penerima bansos rp juta kk,1
pertalite dihapus,1
suara prabowo bicara antek asing telepon,1
video biksu beribadah masjid,1
oreo mengandung babi kutu babi,1
rs sri ratu medan resmi tutup viral tolak pasien,1
foto penemuan tengkorak raksasa kaki,1
video detik detik pesawat singapore airlines mengalami turbulensi,1
video detik detik helikopter membawa presiden iran jatuh,1
perempuan korban pembegalan baubau,1
nik ktp jakarta dinonaktifkan permanen juni,1
mandi menyebabkan serangan jantung kematian,1
puluhan nelayan tergulung gelombang hebat sukabumi mei,1
detik detik suntik mati baby jailyn meninggalkan anaknya meninggal,1
polisi salah tangkap egi palsu dilepaskan,1
rumah sakit madi paniai ditutup tni,1
jokowi diusir warga bali acara dibubarkan paksa,1
video sule mempromosikan judi online,1
video nenek berumur tertua dunia,1
video detik detik ibunya jailyn disuntik mati,1
timnas israel didiskualifikasi olimpiade paris indonesia menggantikannya,1
foto mayat kelompok teroris hamas melawan israel,1
prabowo terang terangan batalkan ikn,1
akun tiktok tiruan jusuf hamka prof hj jusufhamka,1
sri mulyani mengamuk bea cukai celana,1
akun facebook bundaa inul buka giveaway menebak nama daerah,1
baim hadiah rumah pengikut tiktoknya,1
video vladimir putin pesawat pemakaman presiden iran,1
akun tiktok bank bni pinjaman buka pinjaman online whatsapp,1
asteroid menabrak,1
suporter indonesia takbiran pertandingan melawan irak afc,1
gebyar undian berhadiah simpeda bank jatim,1
jokowi diam diam batalkan prabowo presiden,1
pantai selatan mengamuk warga rumah terdampak gelombang dahsyat,1
undian berhadiah bank jatim pengguna layanan jconnect mobile,1
produk bumbu masakan positif mengandung babi,1
gebyar undian berhadiah mengatasnamakan baim,1
gibran resmi batal dilantik wakil presiden,1
undian hadiah nasabah bpd sumut mobile,1
voucher ayam goreng gratis rangka kfc,1
giveaway juta akun facebook soimah berbagi,1
deddy corbuzier pernyataan korupsi membungkam sandra dewi,1
megawati hangestri bongkar bobrok pbvsi presiden jokowi turun tangan,1
akun whatsapp gubernur sumbar mahyeldi ansharullah,1
akun whatsapp heri sulistyanto plh bupati probolinggo,1
nomor whatsapp kepala dpmptsp kab pangandaran jaja nurulhuda,1
surat undangan rakerkesnas juni,1
surat undangan pelatihan bendahara pusbangpeg asn bkn,1
akun whatsapp pj bupati cirebon,1
wanita odgj dijual ayah kandung,1
erick thohir pssi butuh pemain naturalisasi,1
mike tyson membayar juta dolar orang menikahi putrinya,1
rumah rumah hancur akibat pantai selatan mengamuk,1
presiden iran hidup,1
angin tornado menggulung wilayah,1
inul daratista bagikan uang juta nasabah bri bni mandiri bca,1
rs sri ratu medan resmi ditutup,1
rekaman detik detik jatuhnya helikopter ebrahim raisi,1
rekaman kepanikan pesawat singapore airlines akibat turbulensi,1
situs judi online raffi ahmad,1
raffi ahmad rudy salim proyek legalisasi judi online menkominfo,1
artikel kepoin news judul ma ruf amin kas negara menipis rakyat sisihkan bantu negara,1
denda rpjuta mengonsumsi obat herbal menolak vaksinasi akibat perjanjian who pandemy treaty,1
video lokasi shooting pendaratan apollo ditemukan,1
presiden jokowi kejagung temukan bukti korupsi timah rp t,1
suhartoyo meninggal dunia,1
presiden jokowi sita aset hasil korupsi timah milik harvey moeis,1
ketua kpu hasyim asy ari meninggal dunia,1
foto foto puing jatuhnya helikopter ditumpangi presiden iran,1
video tepung gorengan dicampur narkoba,1
berkat bantuan fifa indonesia masuk olimpiade paris,1
potret ribuan mahasiswa demonstrasi kuasai jalan,1
bahaya terkait who pandemic treaty,1
pemasangan microchip vaksinasi indonesia,1
ferdy sambo selamat hukuman mati liburan negeri,1
sri mulyani bekuk oknum bea cukai,1
𝘗𝘙𝘖𝘎𝘙𝘈𝘔 𝘣𝘢𝘨𝘪 𝘴𝘦𝘮𝘶𝘢 𝘯𝘢𝘴𝘢𝘣𝘢𝘩 bank jatim 𝘺𝘢𝘯𝘨 𝘴𝘶𝘥𝘢𝘩 𝘮𝘦𝘯𝘨𝘨𝘶𝘯𝘢𝘬𝘢𝘯 layanan mobile banking 𝘚𝘮𝘴 𝘉𝘢𝘯𝘬𝘪𝘯𝘨,1
penangkapan linda sahabat vina pembunuhan vina cirebon,1
demo dpr ri mei banjir darah,1
prabowo batalkan makan siang gratis beras mahal,1
indonesia diterpa gelombang panas muncul larangan minum air dingin,1
video dokter richard berisi ajakan bergabung situs judi online,1
tangkapan layar judul berita detik prabowo subianto terjunkan kopasus penjagaan kejagung keluarga,1
video ai lagu iwan fals tikus macan,1
presiden jokowi permalukan harvey moeis korupsi timah,1
red sparks harumkan nama indonesia cetak skor,1
prabowo mengamuk sri mulyani beberkan korupsinya,1
efek samping vaksin astrazeneca berkaitan agenda lenyapnya manusia,1
gelombang tsunami hantam maluku mei,1
king kevin orang tercepat hadir transfer juta acak,1
mir hayati berbagi thr juta rupiah akun facebook mira hayati,1
ivan gunawan berbagi hadiah akun facebook igun berbagi,1
akun tiktok tiruan jusuf_hameka berisi konten giveaway,1
hotman paris raffi ahmad rekomendasi situs judi online,1
presiden jokowi marah prabowo merebut jabatannya,1
giveaway uang juta menebak nama hewan akun mengatasnamakan baim,1
najwa shihab promosikan situs judi tokoh politik,1
dilantik presiden prabowo bongkar aib jokowi,1
tangkapan layar berita detik jabar kemunculan hacker bjorka menanggapi vina_cirebon,1
akun whatsapp sekda ciamis,1
surat edaran seminar nasional mengatasnamakan ppsdm ketenagakerjaan,1
beras beracun juta ton cina,1
kebiasaan makan penyebab stroke,1
harimau mati tertabrak kendaraan tol pekanbaru dumai,1
mertua kaesang menikah prabowo,1
tarif listrik mei,1
link pendaftaran penerima bansos pkh,1
video kedatangan pasukan rusia gaza disambut rakyat palestina,1
pernyataan mengejutkan pelatih portugal jelang lawan indonesia bikin asia kaget,1
dumatno budi utomo pemilik asli foto wisuda diakui jokowi,1
detik detik helikopter presiden iran jatuh,1
gelombang dahsyat meter gulung rumah aceh mei,1
video turbulensi pesawat singapore airlines,1
tsunami sukabumi mei,1
puskesmas mergangsan lakukan pemesanan nasi kotak pegawai,1
akun facebook pj bupati kabupaten bener meriah drs haily yoga sip,1
akun whatsapp kadin diskominfo kabupaten pangandaran,1
jokowi ingatlah perintah tetaplah goblok mati,1
surat edaran penempatan tenaga kesehatan peresmian rsud rupat utara,1
dpr berhasil bongkar korupsi istana,1
anies turun mahasiswa duduki dpr akibat ukt,1
korupsi makan siang gratis terbongkar,1
harvey moeis dijuluki raja korupsi media asing,1
sandra dewi masuk rumah sakit jiwa asetnya disita negara,1
sandra dewi putuskan berhijab harvey moeis divonis hukuman mati,1
pegawai kristen petugas haji,1
jusuf hamka bagikan uang juta tebak nama kota,1
ikn batal ibukota negara,1
gaji pns dihentikan,1
jurnalis dilarang investigasi takut terbongkar hasil pemilu prabowo,1
menyambut ulang yamaha hadiah unit motor,1
covid konspirasi rockefeller foundation,1
sri mulyani memarahi bea cukai,1
ular piton menelan anak,1
gunung merapi alami letusan kilometer,1
pdip calonkan anies pilkada jakarta,1
prabowo tolak proyek ikn,1
